observationAbout,observationDate,value,variableMeasured,unit,measurementMethod
country/VUT,2021,0.0008,Exports_EconomicActivity_ExportSourceIndia_AsAFractionOf_Export_EconomicActivity_ExportSourceIndia_WorldTotal,Percent,ExportsInINR
country/VUT,2021,-2.65,GrowthRate_Exports_EconomicActivity_ExportSourceIndia,Percent,ExportsInINR
country/VAT,2020,2300000,Exports_EconomicActivity_ExportSourceIndia,INR,ExportsInINR
country/VAT,2020,0,Exports_EconomicActivity_ExportSourceIndia_AsAFractionOf_Export_EconomicActivity_ExportSourceIndia_WorldTotal,Percent,ExportsInINR
country/VAT,2021,4900000,Exports_EconomicActivity_ExportSourceIndia,INR,ExportsInINR
country/VAT,2021,0,Exports_EconomicActivity_ExportSourceIndia_AsAFractionOf_Export_EconomicActivity_ExportSourceIndia_WorldTotal,Percent,ExportsInINR
country/VAT,2021,114.49,GrowthRate_Exports_EconomicActivity_ExportSourceIndia,Percent,ExportsInINR
country/VEN,2020,24394400000,Exports_EconomicActivity_ExportSourceIndia,INR,ExportsInINR
country/VEN,2020,0.1099,Exports_EconomicActivity_ExportSourceIndia_AsAFractionOf_Export_EconomicActivity_ExportSourceIndia_WorldTotal,Percent,ExportsInINR
country/VEN,2021,41249000000,Exports_EconomicActivity_ExportSourceIndia,INR,ExportsInINR
country/VEN,2021,0.1911,Exports_EconomicActivity_ExportSourceIndia_AsAFractionOf_Export_EconomicActivity_ExportSourceIndia_WorldTotal,Percent,ExportsInINR
country/VEN,2021,69.09,GrowthRate_Exports_EconomicActivity_ExportSourceIndia,Percent,ExportsInINR
country/VNM,2020,358513100000,Exports_EconomicActivity_ExportSourceIndia,INR,ExportsInINR
country/VNM,2020,1.615,Exports_EconomicActivity_ExportSourceIndia_AsAFractionOf_Export_EconomicActivity_ExportSourceIndia_WorldTotal,Percent,ExportsInINR
country/VNM,2021,370348600000,Exports_EconomicActivity_ExportSourceIndia,INR,ExportsInINR
country/VNM,2021,1.7153,Exports_EconomicActivity_ExportSourceIndia_AsAFractionOf_Export_EconomicActivity_ExportSourceIndia_WorldTotal,Percent,ExportsInINR
country/VNM,2021,3.3,GrowthRate_Exports_EconomicActivity_ExportSourceIndia,Percent,ExportsInINR
country/VIR,2020,5638700000,Exports_EconomicActivity_ExportSourceIndia,INR,ExportsInINR
country/VIR,2020,0.0254,Exports_EconomicActivity_ExportSourceIndia_AsAFractionOf_Export_EconomicActivity_ExportSourceIndia_WorldTotal,Percent,ExportsInINR
country/VIR,2021,5593300000,Exports_EconomicActivity_ExportSourceIndia,INR,ExportsInINR
country/VIR,2021,0.0259,Exports_EconomicActivity_ExportSourceIndia_AsAFractionOf_Export_EconomicActivity_ExportSourceIndia_WorldTotal,Percent,ExportsInINR
country/VIR,2021,-0.81,GrowthRate_Exports_EconomicActivity_ExportSourceIndia,Percent,ExportsInINR
country/WLF,2020,1600000,Exports_EconomicActivity_ExportSourceIndia,INR,ExportsInINR
country/WLF,2020,0,Exports_EconomicActivity_ExportSourceIndia_AsAFractionOf_Export_EconomicActivity_ExportSourceIndia_WorldTotal,Percent,ExportsInINR
country/WLF,2021,1700000,Exports_EconomicActivity_ExportSourceIndia,INR,ExportsInINR
country/WLF,2021,0,Exports_EconomicActivity_ExportSourceIndia_AsAFractionOf_Export_EconomicActivity_ExportSourceIndia_WorldTotal,Percent,ExportsInINR
country/WLF,2021,7.05,GrowthRate_Exports_EconomicActivity_ExportSourceIndia,Percent,ExportsInINR
country/YEM,2020,51202100000,Exports_EconomicActivity_ExportSourceIndia,INR,ExportsInINR
country/YEM,2020,0.2307,Exports_EconomicActivity_ExportSourceIndia_AsAFractionOf_Export_EconomicActivity_ExportSourceIndia_WorldTotal,Percent,ExportsInINR
country/YEM,2021,58244000000,Exports_EconomicActivity_ExportSourceIndia,INR,ExportsInINR
country/YEM,2021,0.2698,Exports_EconomicActivity_ExportSourceIndia_AsAFractionOf_Export_EconomicActivity_ExportSourceIndia_WorldTotal,Percent,ExportsInINR
country/YEM,2021,13.75,GrowthRate_Exports_EconomicActivity_ExportSourceIndia,Percent,ExportsInINR
country/ZMB,2020,17541900000,Exports_EconomicActivity_ExportSourceIndia,INR,ExportsInINR
country/ZMB,2020,0.079,Exports_EconomicActivity_ExportSourceIndia_AsAFractionOf_Export_EconomicActivity_ExportSourceIndia_WorldTotal,Percent,ExportsInINR
country/ZMB,2021,19874100000,Exports_EconomicActivity_ExportSourceIndia,INR,ExportsInINR
country/ZMB,2021,0.0921,Exports_EconomicActivity_ExportSourceIndia_AsAFractionOf_Export_EconomicActivity_ExportSourceIndia_WorldTotal,Percent,ExportsInINR
country/ZMB,2021,13.3,GrowthRate_Exports_EconomicActivity_ExportSourceIndia,Percent,ExportsInINR
country/ZWE,2020,11375000000,Exports_EconomicActivity_ExportSourceIndia,INR,ExportsInINR
country/ZWE,2020,0.0512,Exports_EconomicActivity_ExportSourceIndia_AsAFractionOf_Export_EconomicActivity_ExportSourceIndia_WorldTotal,Percent,ExportsInINR
country/ZWE,2021,13049900000,Exports_EconomicActivity_ExportSourceIndia,INR,ExportsInINR
country/ZWE,2021,0.0604,Exports_EconomicActivity_ExportSourceIndia_AsAFractionOf_Export_EconomicActivity_ExportSourceIndia_WorldTotal,Percent,ExportsInINR
country/ZWE,2021,14.72,GrowthRate_Exports_EconomicActivity_ExportSourceIndia,Percent,ExportsInINR
country/IND,2020,22198541800000,Exports_EconomicActivity_ExportSourceIndia,INR,ExportsInINR
country/IND,2020,0.8118,Exports_EconomicActivity_ExportSourceIndia_AsAFractionOf_Export_EconomicActivity_ExportSourceIndia_WorldTotal,Percent,ExportsInINR
country/IND,2021,21590432200000,Exports_EconomicActivity_ExportSourceIndia,INR,ExportsInINR
