observationAbout,observationDate,value,variableMeasured,unit,measurementMethod
country/IND,2021,0.6577,Exports_EconomicActivity_EssentialOilsAndResinoidsPerfumeryCosmeticOrToilet_AsAFractionOf_Exports_EconomicActivity,Percent,ExportsInUSD
country/IND,2021,-8.89,GrowthRate_Exports_EconomicActivity_EssentialOilsAndResinoidsPerfumeryCosmeticOrToilet,Percent,ExportsInUSD
country/IND,2020,44595900000,Exports_EconomicActivity_SoapOrganicSurfaceActiveAgentsWashingLubricating,INR,ExportsInUSD
country/IND,2020,0.2009,Exports_EconomicActivity_SoapOrganicSurfaceActiveAgentsWashingLubricating_AsAFractionOf_Exports_EconomicActivity,Percent,ExportsInUSD
country/IND,2021,52445500000,Exports_EconomicActivity_SoapOrganicSurfaceActiveAgentsWashingLubricating,INR,ExportsInUSD
country/IND,2021,0.2429,Exports_EconomicActivity_SoapOrganicSurfaceActiveAgentsWashingLubricating_AsAFractionOf_Exports_EconomicActivity,Percent,ExportsInUSD
country/IND,2021,17.6,GrowthRate_Exports_EconomicActivity_SoapOrganicSurfaceActiveAgentsWashingLubricating,Percent,ExportsInUSD
country/IND,2020,15821400000,Exports_EconomicActivity_AlbuminoidalSubstancesModifiedStarchesGluesEnzymes,INR,ExportsInUSD
country/IND,2020,0.0713,Exports_EconomicActivity_AlbuminoidalSubstancesModifiedStarchesGluesEnzymes_AsAFractionOf_Exports_EconomicActivity,Percent,ExportsInUSD
country/IND,2021,18629400000,Exports_EconomicActivity_AlbuminoidalSubstancesModifiedStarchesGluesEnzymes,INR,ExportsInUSD
country/IND,2021,0.0863,Exports_EconomicActivity_AlbuminoidalSubstancesModifiedStarchesGluesEnzymes_AsAFractionOf_Exports_EconomicActivity,Percent,ExportsInUSD
country/IND,2021,17.75,GrowthRate_Exports_EconomicActivity_AlbuminoidalSubstancesModifiedStarchesGluesEnzymes,Percent,ExportsInUSD
country/IND,2020,8322100000,Exports_EconomicActivity_ExplosivesPyrotechnicProductsMatchesPyrophoric,INR,ExportsInUSD
country/IND,2020,0.0375,Exports_EconomicActivity_ExplosivesPyrotechnicProductsMatchesPyrophoric_AsAFractionOf_Exports_EconomicActivity,Percent,ExportsInUSD
country/IND,2021,9532800000,Exports_EconomicActivity_ExplosivesPyrotechnicProductsMatchesPyrophoric,INR,ExportsInUSD
country/IND,2021,0.0442,Exports_EconomicActivity_ExplosivesPyrotechnicProductsMatchesPyrophoric_AsAFractionOf_Exports_EconomicActivity,Percent,ExportsInUSD
country/IND,2021,14.55,GrowthRate_Exports_EconomicActivity_ExplosivesPyrotechnicProductsMatchesPyrophoric,Percent,ExportsInUSD
country/IND,2020,793400000,Exports_EconomicActivity_PhotographicOrCinematographicGoods,INR,ExportsInUSD
country/IND,2020,0.0036,Exports_EconomicActivity_PhotographicOrCinematographicGoods_AsAFractionOf_Exports_EconomicActivity,Percent,ExportsInUSD
country/IND,2021,724900000,Exports_EconomicActivity_PhotographicOrCinematographicGoods,INR,ExportsInUSD
country/IND,2021,0.0034,Exports_EconomicActivity_PhotographicOrCinematographicGoods_AsAFractionOf_Exports_EconomicActivity,Percent,ExportsInUSD
country/IND,2021,-8.63,GrowthRate_Exports_EconomicActivity_PhotographicOrCinematographicGoods,Percent,ExportsInUSD
country/IND,2020,356629300000,Exports_EconomicActivity_ChemicalProductsNEC,INR,ExportsInUSD
country/IND,2020,1.6065,Exports_EconomicActivity_ChemicalProductsNEC_AsAFractionOf_Exports_EconomicActivity,Percent,ExportsInUSD
country/IND,2021,378860600000,Exports_EconomicActivity_ChemicalProductsNEC,INR,ExportsInUSD
country/IND,2021,1.7548,Exports_EconomicActivity_ChemicalProductsNEC_AsAFractionOf_Exports_EconomicActivity,Percent,ExportsInUSD
country/IND,2021,6.23,GrowthRate_Exports_EconomicActivity_ChemicalProductsNEC,Percent,ExportsInUSD
country/IND,2020,489696700000,Exports_EconomicActivity_PlasticsAndArticlesThereof,INR,ExportsInUSD
country/IND,2020,2.206,Exports_EconomicActivity_PlasticsAndArticlesThereof_AsAFractionOf_Exports_EconomicActivity,Percent,ExportsInUSD
country/IND,2021,510043200000,Exports_EconomicActivity_PlasticsAndArticlesThereof,INR,ExportsInUSD
country/IND,2021,2.3624,Exports_EconomicActivity_PlasticsAndArticlesThereof_AsAFractionOf_Exports_EconomicActivity,Percent,ExportsInUSD
